               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1       31,0.635     ,-3.37     ,5.16      ,0.0437    ,          ,          ,          ,          ,  -7882237
 DSO 2       27,          ,          ,          ,          ,0.667     ,0.627     ,0.806     ,0.0250    ,  -7873174
 DSO 1       32,0.508     ,-1.39     ,-0.79     ,0.0357    ,          ,          ,          ,          ,  -7872237
 DSO 2       28,          ,          ,          ,          ,0.429     ,0.786     ,0.806     ,0.0218    ,  -7863174
 DSO 1       33,0.619     ,-2.78     ,3.37      ,0.0258    ,          ,          ,          ,          ,  -7862237
 DSO 2       29,          ,          ,          ,          ,0.290     ,-0.087    ,0.409     ,0.0163    ,  -7853174
 DSO 1       34,0.651     ,-2.38     ,0.79      ,0.0159    ,          ,          ,          ,          ,  -7852237
 DSO 2       30,          ,          ,          ,          ,0.389     ,0.190     ,0.210     ,0.0163    ,  -7843174
 DSO 1       35,0.651     ,-0.40     ,0.20      ,0.0556    ,          ,          ,          ,          ,  -7842237
 DSO 2       31,          ,          ,          ,          ,0.111     ,-0.107    ,0.310     ,0.0183    ,  -7833174
 DSO 1       36,0.730     ,-2.98     ,0.99      ,0.0337    ,          ,          ,          ,          ,  -7832237
 DSO 2       32,          ,          ,          ,          ,0.349     ,0.310     ,0.409     ,0.0187    ,  -7823174
 DSO 1       37,0.762     ,-0.99     ,0.99      ,0.0575    ,          ,          ,          ,          ,  -7822237
 DSO 2       33,          ,          ,          ,          ,0.647     ,0.667     ,0.627     ,0.0143    ,  -7813174
 DSO 1       38,1.000     ,0.79      ,-1.98     ,0.0496    ,          ,          ,          ,          ,  -7812237
 DSO 2       34,          ,          ,          ,          ,0.726     ,0.667     ,0.766     ,0.0202    ,  -7803174
 DSO 1       39,0.397     ,-4.56     ,3.57      ,0.0516    ,          ,          ,          ,          ,  -7802237
 DSO 2       35,          ,          ,          ,          ,0.687     ,0.429     ,0.607     ,0.0202    ,  -7793174
 DSO 1       40,0.460     ,0.99      ,1.19      ,0.0456    ,          ,          ,          ,          ,  -7792237
 DSO 2       36,          ,          ,          ,          ,0.607     ,0.349     ,0.230     ,0.0167    ,  -7783174
 DSO 1       41,0.460     ,1.98      ,4.96      ,0.0476    ,          ,          ,          ,          ,  -7782237
 DSO 2       37,          ,          ,          ,          ,0.508     ,0.667     ,0.905     ,0.0194    ,  -7773174
 DSO 1       42,0.698     ,-4.76     ,2.98      ,0.0238    ,          ,          ,          ,          ,  -7772237
 DSO 2       38,          ,          ,          ,          ,-0.048    ,0.111     ,0.310     ,0.0159    ,  -7763174
 DSO 1       43,0.540     ,-2.18     ,-0.60     ,0.0516    ,          ,          ,          ,          ,  -7762237
 DSO 2       39,          ,          ,          ,          ,0.230     ,0.329     ,0.131     ,0.0139    ,  -7753174
 DSO 1       44,0.667     ,3.17      ,-2.98     ,0.0635    ,          ,          ,          ,          ,  -7752237
 DSO 2       40,          ,          ,          ,          ,0.508     ,-0.028    ,0.607     ,0.0242    ,  -7743174
 DSO 1       45,0.698     ,-1.39     ,-0.60     ,0.0873    ,          ,          ,          ,          ,  -7742237
 DSO 2       41,          ,          ,          ,          ,-0.107    ,0.052     ,0.528     ,0.0190    ,  -7733174
 DSO 1       46,0.571     ,0.20      ,0.99      ,0.0615    ,          ,          ,          ,          ,  -7732237
 DSO 2       42,          ,          ,          ,          ,0.786     ,0.508     ,0.687     ,0.0210    ,  -7723174
 DSO 1       47,0.540     ,-2.58     ,1.19      ,0.0456    ,          ,          ,          ,          ,  -7722237
 DSO 2       43,          ,          ,          ,          ,0.667     ,0.369     ,0.607     ,0.0294    ,  -7713174
 DSO 1       48,0.714     ,-3.57     ,1.59      ,0.0298    ,          ,          ,          ,          ,  -7712237
 DSO 2       44,          ,          ,          ,          ,0.706     ,0.468     ,0.627     ,0.0175    ,  -7703174
 DSO 1       49,0.460     ,-2.58     ,3.37      ,0.0476    ,          ,          ,          ,          ,  -7702237
 DSO 2       45,          ,          ,          ,          ,0.667     ,0.726     ,0.627     ,0.0226    ,  -7693174
 DSO 1       50,0.603     ,0.00      ,1.59      ,0.0456    ,          ,          ,          ,          ,  -7692237
 DSO 2       46,          ,          ,          ,          ,0.389     ,0.131     ,0.171     ,0.0194    ,  -7683174
 DSO 1       51,0.873     ,0.99      ,-1.39     ,0.0238    ,          ,          ,          ,          ,  -7682237
 DSO 2       47,          ,          ,          ,          ,0.171     ,0.151     ,0.409     ,0.0167    ,  -7673174
 DSO 1       52,0.778     ,-0.40     ,0.20      ,0.0595    ,          ,          ,          ,          ,  -7672237
 DSO 2       48,          ,          ,          ,          ,0.270     ,0.528     ,0.448     ,0.0234    ,  -7663174
 DSO 1       53,0.651     ,0.99      ,0.20      ,0.0456    ,          ,          ,          ,          ,  -7662237
